company_name,nse,exchange
Indigo Paints Limited,INDIGOPNTS,NSE
Indiqube Spaces Ltd,INDIQUBE,NSE
INDOCO REMEDIES LIMITED,INDOCO,NSE
Indraprastha Gas Limited,IGL,NSE
Indus Towers Limited,INDUSTOWER,NSE
IndusInd Bank Limited,INDUSINDBK,NSE
Info Edge (India) Limited,NAUKRI,NSE
Infosys Limited,INFY,NSE
Ingersoll Rand (India) Limited,INGERRAND,NSE
Innova Captab Limited,INNOVACAP,NSE
Inox Green Energy Services Limited,INOXGREEN,NSE
Inox India Limited,INOXINDIA,NSE
Inox Wind Limited,INOXWIND,NSE
Insecticides (India) Ltd.,INSECTICID,NSE
Intellect Design Arena Limited,INTELLECT,NSE
Inter Globe Aviation Ltd,INDIGO,NSE
Interarch Building Solutions Limited,INTERARCH,NSE
InterGlobe Aviation Limited,INDIGO,NSE
International Gemmological Institute India Limited,IGIL,NSE
Inventurus Knowledge Solutions Limited,IKS,NSE
ION EXCHANGE (INDIA) LIMITED,IONEXCHANG,NSE
IPCA Laboratories Limited,IPCALAB,NSE
IRB Infrastructure Developers Limited,IRB,NSE
IRM Energy Ltd,IRMENERGY,NSE
ISGEC Heavy Engineering Limited,ISGEC,NSE
ITC Hotels Limited,ITCHOTELS,NSE
ITC Limited,ITC,NSE
Jagran Prakashan Ltd.,JAGRAN,NSE
Jain Resource Recycling Limited,JAINREC,NSE
Jamna Auto Industries Limited,JAMNAAUTO,NSE
Jash Engineering Limited,JASH,NSE
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,NSE
Jindal Saw Limited,JINDALSAW,NSE
Jindal Stainless Limited,JSL,NSE
Jindal Steel & Power Ltd,JINDALSTEL,NSE
Jindal Steel Limited.,JINDALSTEL,NSE
JK Cement Limited,JKCEMENT,NSE
JK Lakshmi Cement Limited,JKLAKSHMI,NSE
JK Paper Limited,JKPAPER,NSE
JK Tyre & Industries Limited,JKTYRE,NSE
JM FINANCIAL LIMITED,JMFINANCIL,NSE
JNK India Limited,JNKINDIA,NSE
JSW Cement Limited,JSWCEMENT,NSE
JSW Energy Limited,JSWENERGY,NSE
JSW Infrastructure Limited,JSWINFRA,NSE
JSW Steel Limited,JSWSTEEL,NSE
Jtekt India Limited,JTEKTINDIA,NSE
Jubilant Foodworks Limited,JUBLFOOD,NSE
